AWAY,HOME,HOME_TEAM_RESULT,W%,B_index,LV2,wOBA,W%,B_index,LV2,wOBA
Tigers,Pirates,W,0.534161491,48,27.31,0.33,0.481481481,47,26.13,0.318
Mets,Marlins,L,0.537037037,45.9,29.76,0.315,0.49068323,46.1,28.77,0.309
Phillies,Yankees,L,0.438271605,47,28.53,0.296,0.518518519,44.8,30.4,0.311
Cardinals,Nationals,D,0.530864198,46.7,27.7,0.329,0.586419753,45.8,31.17,0.322
Rays,BlueJays,W,0.419753086,48.8,29.26,0.315,0.549382716,46.7,28.14,0.327
Cubs,Athletics,D,0.635802469,46.7,30.36,0.333,0.425925926,43.6,26.37,0.302
Indians,Royals,L,0.583850932,46.4,30.09,0.326,0.5,46.3,27.5,0.307
Brewers,Indians,L,0.450617284,49.9,25.31,0.315,0.583850932,46.4,30.09,0.326
Reds,Mariners,L,0.419753086,46.7,26.46,0.311,0.530864198,46.6,28.27,0.325
Dodgers,Rockies,L,0.561728395,46.3,32.05,0.314,0.462962963,48.8,26.66,0.339
Rangers,Angels,W,0.586419753,46.2,25.24,0.324,0.456790123,42.4,25.16,0.314
Padres,Giants,W,0.419753086,48.5,26.19,0.297,0.537037037,43.5,28.27,0.315
Astros,Nationals,D,0.518518519,48.1,29.74,0.317,0.586419753,45.8,31.17,0.322
Twins,Cardinals,L,0.364197531,47.9,26.48,0.317,0.530864198,46.7,27.7,0.329
Mets,Tigers,W,0.537037037,45.9,29.76,0.315,0.534161491,48,27.31,0.33
Phillies,Orioles,W,0.438271605,47,28.53,0.296,0.549382716,47.3,26.91,0.326
Pirates,RedSox,L,0.481481481,47,26.13,0.318,0.574074074,46.6,29.18,0.346
Rays,Braves,W,0.419753086,48.8,29.26,0.315,0.422360248,45.5,26.35,0.304
WhiteSox,Royals,W,0.481481481,46.7,27.06,0.314,0.5,46.3,27.5,0.307
Brewers,Dodgers,W,0.450617284,49.9,25.31,0.315,0.561728395,46.3,32.05,0.314
Padres,Cubs,L,0.419753086,48.5,26.19,0.297,0.635802469,46.7,30.36,0.333
Rangers,Indians,W,0.586419753,46.2,25.24,0.324,0.583850932,46.4,30.09,0.326
Reds,Angels,W,0.419753086,46.7,26.46,0.311,0.456790123,42.4,25.16,0.314
Rockies,Mariners,L,0.462962963,48.8,26.66,0.339,0.530864198,46.6,28.27,0.325
Giants,Athletics,W,0.537037037,43.5,28.27,0.315,0.425925926,43.6,26.37,0.302
Braves,Tigers,W,0.422360248,45.5,26.35,0.304,0.534161491,48,27.31,0.33
Mets,Marlins,L,0.537037037,45.9,29.76,0.315,0.49068323,46.1,28.77,0.309
Phillies,Rays,L,0.438271605,47,28.53,0.296,0.419753086,48.8,29.26,0.315
Nationals,Astros,L,0.586419753,45.8,31.17,0.322,0.518518519,48.1,29.74,0.317
Orioles,BlueJays,D,0.549382716,47.3,26.91,0.326,0.549382716,46.7,28.14,0.327
Indians,Rangers,W,0.583850932,46.4,30.09,0.326,0.586419753,46.2,25.24,0.324
Royals,Reds,W,0.5,46.3,27.5,0.307,0.419753086,46.7,26.46,0.311
Dodgers,WhiteSox,W,0.561728395,46.3,32.05,0.314,0.481481481,46.7,27.06,0.314
Cubs,Padres,L,0.635802469,46.7,30.36,0.333,0.419753086,48.5,26.19,0.297
Athletics,Rockies,W,0.425925926,43.6,26.37,0.302,0.462962963,48.8,26.66,0.339
Mariners,Angels,D,0.530864198,46.6,28.27,0.325,0.456790123,42.4,25.16,0.314
Yankees,RedSox,L,0.518518519,44.8,30.4,0.311,0.574074074,46.6,29.18,0.346
Tigers,Astros,L,0.534161491,48,27.31,0.33,0.518518519,48.1,29.74,0.317
Pirates,Orioles,W,0.481481481,47,26.13,0.318,0.549382716,47.3,26.91,0.326
Cardinals,Braves,D,0.530864198,46.7,27.7,0.329,0.422360248,45.5,26.35,0.304
Nationals,Marlins,L,0.586419753,45.8,31.17,0.322,0.49068323,46.1,28.77,0.309
Cubs,Royals,W,0.635802469,46.7,30.36,0.333,0.5,46.3,27.5,0.307
WhiteSox,Brewers,W,0.481481481,46.7,27.06,0.314,0.450617284,49.9,25.31,0.315
Rockies,Dodgers,W,0.462962963,48.8,26.66,0.339,0.561728395,46.3,32.05,0.314
Angels,Indians,L,0.456790123,42.4,25.16,0.314,0.583850932,46.4,30.09,0.326
Giants,Mariners,W,0.537037037,43.5,28.27,0.315,0.530864198,46.6,28.27,0.325
BlueJays,Yankees,W,0.549382716,46.7,28.14,0.327,0.518518519,44.8,30.4,0.311
RedSox,Twins,W,0.574074074,46.6,29.18,0.346,0.364197531,47.9,26.48,0.317
Braves,Nationals,W,0.422360248,45.5,26.35,0.304,0.586419753,45.8,31.17,0.322
Orioles,RedSox,W,0.549382716,47.3,26.91,0.326,0.574074074,46.6,29.18,0.346
Astros,Braves,L,0.518518519,48.1,29.74,0.317,0.422360248,45.5,26.35,0.304
Mets,Marlins,L,0.537037037,45.9,29.76,0.315,0.49068323,46.1,28.77,0.309
Yankees,Pirates,L,0.518518519,44.8,30.4,0.311,0.481481481,47,26.13,0.318
Cardinals,Tigers,W,0.530864198,46.7,27.7,0.329,0.534161491,48,27.31,0.33
Rays,Phillies,L,0.419753086,48.8,29.26,0.315,0.438271605,47,28.53,0.296
BlueJays,Astros,W,0.549382716,46.7,28.14,0.327,0.518518519,48.1,29.74,0.317
Indians,Reds,W,0.583850932,46.4,30.09,0.326,0.419753086,46.7,26.46,0.311
Royals,Dodgers,L,0.5,46.3,27.5,0.307,0.561728395,46.3,32.05,0.314
Mariners,Athletics,D,0.530864198,46.6,28.27,0.325,0.425925926,43.6,26.37,0.302
Angels,Rockies,D,0.456790123,42.4,25.16,0.314,0.462962963,48.8,26.66,0.339
Twins,Orioles,W,0.364197531,47.9,26.48,0.317,0.549382716,47.3,26.91,0.326
Brewers,Rangers,L,0.450617284,49.9,25.31,0.315,0.586419753,46.2,25.24,0.324
Giants,Padres,L,0.537037037,43.5,28.27,0.315,0.419753086,48.5,26.19,0.297
RedSox,Rays,W,0.574074074,46.6,29.18,0.346,0.419753086,48.8,29.26,0.315
Tigers,Cardinals,L,0.534161491,48,27.31,0.33,0.530864198,46.7,27.7,0.329
Marlins,Braves,W,0.49068323,46.1,28.77,0.309,0.422360248,45.5,26.35,0.304
Twins,RedSox,L,0.364197531,47.9,26.48,0.317,0.574074074,46.6,29.18,0.346
Pirates,Phillies,W,0.481481481,47,26.13,0.318,0.438271605,47,28.53,0.296
Astros,BlueJays,W,0.518518519,48.1,29.74,0.317,0.549382716,46.7,28.14,0.327
Cubs,WhiteSox,W,0.635802469,46.7,30.36,0.333,0.481481481,46.7,27.06,0.314
Reds,Brewers,L,0.419753086,46.7,26.46,0.311,0.450617284,49.9,25.31,0.315
Angels,Royals,W,0.456790123,42.4,25.16,0.314,0.5,46.3,27.5,0.307
Athletics,Indians,W,0.425925926,43.6,26.37,0.302,0.583850932,46.4,30.09,0.326
Rockies,Angels,D,0.462962963,48.8,26.66,0.339,0.456790123,42.4,25.16,0.314
