AWAY,HOME,HOME_TEAM_RESULT,W%,BABIP,ERA,K%,K%,AVG,SLG,P_Index,B_index,W%,BABIP,ERA,K%,K%,AVG,SLG,P_Index,B_index
WhiteSox,Athletics,L,0.481481481,0.298,4.12,20.5,21,0.257,0.41,24.62,46.7,0.425925926,0.299,4.51,19.3,19,0.246,0.395,23.81,43.6
Astros,Yankees,L,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417,26.66,48.1,0.518518519,0.292,4.16,23.1,19.6,0.252,0.405,27.26,44.8
RedSox,Indians,L,0.574074074,0.293,4,22.4,18.4,0.282,0.461,26.4,46.6,0.583850932,0.289,3.86,23.2,20.2,0.262,0.43,27.06,46.4
Mets,Royals,L,0.537037037,0.308,3.58,23,21.3,0.246,0.417,26.58,45.9,0.5,0.298,4.21,20.8,20.2,0.261,0.4,25.01,46.3
Cardinals,Pirates,W,0.530864198,0.304,4.08,20.9,21.2,0.255,0.443,24.98,46.7,0.481481481,0.306,4.22,19.6,21.3,0.257,0.402,23.82,47
Tigers,Marlins,L,0.534161491,0.3,4.24,20.4,21.3,0.267,0.438,24.64,48,0.49068323,0.303,4.05,22.4,19.8,0.263,0.394,26.45,46.1
BlueJays,Rays,W,0.549382716,0.282,3.79,21.5,21.9,0.248,0.426,25.29,46.7,0.419753086,0.297,4.2,22.3,24.5,0.243,0.426,26.5,48.8
Mariners,Rangers,L,0.530864198,0.292,4,21.4,20.7,0.259,0.43,25.4,46.6,0.586419753,0.292,4.38,18.7,20,0.262,0.433,23.08,46.2
Giants,Brewers,L,0.537037037,0.287,3.69,21.6,17.7,0.258,0.398,25.29,43.5,0.450617284,0.3,4.1,19,25.5,0.244,0.407,23.1,49.9
Cubs,Angels,L,0.635802469,0.255,3.15,24.3,21.1,0.256,0.429,27.45,46.7,0.456790123,0.301,4.28,18.6,16.4,0.26,0.405,22.88,42.4
WhiteSox,Athletics,L,0.481481481,0.298,4.12,20.5,21,0.257,0.41,24.62,46.7,0.425925926,0.299,4.51,19.3,19,0.246,0.395,23.81,43.6
Dodgers,Padres,L,0.561728395,0.288,3.7,25.1,21.4,0.249,0.409,28.8,46.3,0.419753086,0.296,4.44,19.6,25,0.235,0.39,24.04,48.5
BlueJays,Rays,W,0.549382716,0.282,3.79,21.5,21.9,0.248,0.426,25.29,46.7,0.419753086,0.297,4.2,22.3,24.5,0.243,0.426,26.5,48.8
Giants,Brewers,W,0.537037037,0.287,3.69,21.6,17.7,0.258,0.398,25.29,43.5,0.450617284,0.3,4.1,19,25.5,0.244,0.407,23.1,49.9
Mariners,Rangers,L,0.530864198,0.292,4,21.4,20.7,0.259,0.43,25.4,46.6,0.586419753,0.292,4.38,18.7,20,0.262,0.433,23.08,46.2
Tigers,Marlins,L,0.534161491,0.3,4.24,20.4,21.3,0.267,0.438,24.64,48,0.49068323,0.303,4.05,22.4,19.8,0.263,0.394,26.45,46.1
RedSox,Indians,W,0.574074074,0.293,4,22.4,18.4,0.282,0.461,26.4,46.6,0.583850932,0.289,3.86,23.2,20.2,0.262,0.43,27.06,46.4
Astros,Yankees,W,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417,26.66,48.1,0.518518519,0.292,4.16,23.1,19.6,0.252,0.405,27.26,44.8
Twins,Orioles,W,0.364197531,0.319,5.09,18.9,22.8,0.251,0.421,23.99,47.9,0.549382716,0.299,4.22,20.4,21.7,0.256,0.443,24.62,47.3
Cardinals,Pirates,W,0.530864198,0.304,4.08,20.9,21.2,0.255,0.443,24.98,46.7,0.481481481,0.306,4.22,19.6,21.3,0.257,0.402,23.82,47
Phillies,Reds,W,0.438271605,0.304,4.64,21.1,23,0.24,0.385,25.74,47,0.419753086,0.29,4.91,19.6,21.1,0.256,0.408,24.51,46.7
Nationals,Braves,L,0.586419753,0.288,3.52,24.5,20.2,0.256,0.426,28.02,45.8,0.422360248,0.293,4.51,19.6,20,0.255,0.384,24.11,45.5
Dodgers,Padres,L,0.561728395,0.288,3.7,25.1,21.4,0.249,0.409,28.8,46.3,0.419753086,0.296,4.44,19.6,25,0.235,0.39,24.04,48.5
WhiteSox,Athletics,W,0.481481481,0.298,4.12,20.5,21,0.257,0.41,24.62,46.7,0.425925926,0.299,4.51,19.3,19,0.246,0.395,23.81,43.6
Phillies,Reds,W,0.438271605,0.304,4.64,21.1,23,0.24,0.385,25.74,47,0.419753086,0.29,4.91,19.6,21.1,0.256,0.408,24.51,46.7
WhiteSox,Athletics,L,0.481481481,0.298,4.12,20.5,21,0.257,0.41,24.62,46.7,0.425925926,0.299,4.51,19.3,19,0.246,0.395,23.81,43.6
Astros,Yankees,W,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417,26.66,48.1,0.518518519,0.292,4.16,23.1,19.6,0.252,0.405,27.26,44.8
Marlins,Nationals,L,0.49068323,0.303,4.05,22.4,19.8,0.263,0.394,26.45,46.1,0.586419753,0.288,3.52,24.5,20.2,0.256,0.426,28.02,45.8
Dodgers,Giants,W,0.561728395,0.288,3.7,25.1,21.4,0.249,0.409,28.8,46.3,0.537037037,0.287,3.69,21.6,17.7,0.258,0.398,25.29,43.5
Twins,Orioles,W,0.364197531,0.319,5.09,18.9,22.8,0.251,0.421,23.99,47.9,0.549382716,0.299,4.22,20.4,21.7,0.256,0.443,24.62,47.3
Rangers,Angels,W,0.586419753,0.292,4.38,18.7,20,0.262,0.433,23.08,46.2,0.456790123,0.301,4.28,18.6,16.4,0.26,0.405,22.88,42.4
Yankees,Tigers,W,0.518518519,0.292,4.16,23.1,19.6,0.252,0.405,27.26,44.8,0.534161491,0.3,4.24,20.4,21.3,0.267,0.438,24.64,48
Phillies,Mets,W,0.438271605,0.304,4.64,21.1,23,0.24,0.385,25.74,47,0.537037037,0.308,3.58,23,21.3,0.246,0.417,26.58,45.9
Indians,WhiteSox,L,0.583850932,0.289,3.86,23.2,20.2,0.262,0.43,27.06,46.4,0.481481481,0.298,4.12,20.5,21,0.257,0.41,24.62,46.7
Padres,Rockies,L,0.419753086,0.296,4.44,19.6,25,0.235,0.39,24.04,48.5,0.462962963,0.317,4.92,19.5,21.3,0.275,0.457,24.42,48.8
Rays,Orioles,W,0.419753086,0.297,4.2,22.3,24.5,0.243,0.426,26.5,48.8,0.549382716,0.299,4.22,20.4,21.7,0.256,0.443,24.62,47.3
RedSox,BlueJays,L,0.574074074,0.293,4,22.4,18.4,0.282,0.461,26.4,46.6,0.549382716,0.282,3.79,21.5,21.9,0.248,0.426,25.29,46.7
Pirates,Reds,L,0.481481481,0.306,4.22,19.6,21.3,0.257,0.402,23.82,47,0.419753086,0.29,4.91,19.6,21.1,0.256,0.408,24.51,46.7
Cardinals,Braves,L,0.530864198,0.304,4.08,20.9,21.2,0.255,0.443,24.98,46.7,0.422360248,0.293,4.51,19.6,20,0.255,0.384,24.11,45.5
Astros,Brewers,W,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417,26.66,48.1,0.450617284,0.3,4.1,19,25.5,0.244,0.407,23.1,49.9
Twins,Royals,W,0.364197531,0.319,5.09,18.9,22.8,0.251,0.421,23.99,47.9,0.5,0.298,4.21,20.8,20.2,0.261,0.4,25.01,46.3
Rangers,Angels,L,0.586419753,0.292,4.38,18.7,20,0.262,0.433,23.08,46.2,0.456790123,0.301,4.28,18.6,16.4,0.26,0.405,22.88,42.4
Athletics,Mariners,L,0.425925926,0.299,4.51,19.3,19,0.246,0.395,23.81,43.6,0.530864198,0.292,4,21.4,20.7,0.259,0.43,25.4,46.6
Dodgers,Giants,W,0.561728395,0.288,3.7,25.1,21.4,0.249,0.409,28.8,46.3,0.537037037,0.287,3.69,21.6,17.7,0.258,0.398,25.29,43.5
RedSox,BlueJays,L,0.574074074,0.293,4,22.4,18.4,0.282,0.461,26.4,46.6,0.549382716,0.282,3.79,21.5,21.9,0.248,0.426,25.29,46.7
Yankees,Tigers,L,0.518518519,0.292,4.16,23.1,19.6,0.252,0.405,27.26,44.8,0.534161491,0.3,4.24,20.4,21.3,0.267,0.438,24.64,48
Pirates,Reds,W,0.481481481,0.306,4.22,19.6,21.3,0.257,0.402,23.82,47,0.419753086,0.29,4.91,19.6,21.1,0.256,0.408,24.51,46.7
Indians,WhiteSox,W,0.583850932,0.289,3.86,23.2,20.2,0.262,0.43,27.06,46.4,0.481481481,0.298,4.12,20.5,21,0.257,0.41,24.62,46.7
Dodgers,Giants,L,0.561728395,0.288,3.7,25.1,21.4,0.249,0.409,28.8,46.3,0.537037037,0.287,3.69,21.6,17.7,0.258,0.398,25.29,43.5
Astros,Brewers,L,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417,26.66,48.1,0.450617284,0.3,4.1,19,25.5,0.244,0.407,23.1,49.9
Phillies,Mets,L,0.438271605,0.304,4.64,21.1,23,0.24,0.385,25.74,47,0.537037037,0.308,3.58,23,21.3,0.246,0.417,26.58,45.9
Cardinals,Braves,L,0.530864198,0.304,4.08,20.9,21.2,0.255,0.443,24.98,46.7,0.422360248,0.293,4.51,19.6,20,0.255,0.384,24.11,45.5
Twins,Royals,W,0.364197531,0.319,5.09,18.9,22.8,0.251,0.421,23.99,47.9,0.5,0.298,4.21,20.8,20.2,0.261,0.4,25.01,46.3
Padres,Rockies,L,0.419753086,0.296,4.44,19.6,25,0.235,0.39,24.04,48.5,0.462962963,0.317,4.92,19.5,21.3,0.275,0.457,24.42,48.8
Rangers,Angels,L,0.586419753,0.292,4.38,18.7,20,0.262,0.433,23.08,46.2,0.456790123,0.301,4.28,18.6,16.4,0.26,0.405,22.88,42.4
Athletics,Mariners,L,0.425925926,0.299,4.51,19.3,19,0.246,0.395,23.81,43.6,0.530864198,0.292,4,21.4,20.7,0.259,0.43,25.4,46.6
RedSox,BlueJays,W,0.574074074,0.293,4,22.4,18.4,0.282,0.461,26.4,46.6,0.549382716,0.282,3.79,21.5,21.9,0.248,0.426,25.29,46.7
Phillies,Mets,L,0.438271605,0.304,4.64,21.1,23,0.24,0.385,25.74,47,0.537037037,0.308,3.58,23,21.3,0.246,0.417,26.58,45.9
Pirates,Reds,W,0.481481481,0.306,4.22,19.6,21.3,0.257,0.402,23.82,47,0.419753086,0.29,4.91,19.6,21.1,0.256,0.408,24.51,46.7
Marlins,Nationals,W,0.49068323,0.303,4.05,22.4,19.8,0.263,0.394,26.45,46.1,0.586419753,0.288,3.52,24.5,20.2,0.256,0.426,28.02,45.8
Cardinals,Braves,L,0.530864198,0.304,4.08,20.9,21.2,0.255,0.443,24.98,46.7,0.422360248,0.293,4.51,19.6,20,0.255,0.384,24.11,45.5
Rays,Orioles,W,0.419753086,0.297,4.2,22.3,24.5,0.243,0.426,26.5,48.8,0.549382716,0.299,4.22,20.4,21.7,0.256,0.443,24.62,47.3
Astros,Brewers,W,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417,26.66,48.1,0.450617284,0.3,4.1,19,25.5,0.244,0.407,23.1,49.9
Twins,Royals,W,0.364197531,0.319,5.09,18.9,22.8,0.251,0.421,23.99,47.9,0.5,0.298,4.21,20.8,20.2,0.261,0.4,25.01,46.3
Rangers,Angels,W,0.586419753,0.292,4.38,18.7,20,0.262,0.433,23.08,46.2,0.456790123,0.301,4.28,18.6,16.4,0.26,0.405,22.88,42.4
Dodgers,Giants,W,0.561728395,0.288,3.7,25.1,21.4,0.249,0.409,28.8,46.3,0.537037037,0.287,3.69,21.6,17.7,0.258,0.398,25.29,43.5
Athletics,Mariners,L,0.425925926,0.299,4.51,19.3,19,0.246,0.395,23.81,43.6,0.530864198,0.292,4,21.4,20.7,0.259,0.43,25.4,46.6
Padres,Rockies,W,0.419753086,0.296,4.44,19.6,25,0.235,0.39,24.04,48.5,0.462962963,0.317,4.92,19.5,21.3,0.275,0.457,24.42,48.8
Pirates,Tigers,L,0.481481481,0.306,4.22,19.6,21.3,0.257,0.402,23.82,47,0.534161491,0.3,4.24,20.4,21.3,0.267,0.438,24.64,48
Orioles,RedSox,L,0.549382716,0.299,4.22,20.4,21.7,0.256,0.443,24.62,47.3,0.574074074,0.293,4,22.4,18.4,0.282,0.461,26.4,46.6
Padres,Phillies,L,0.419753086,0.296,4.44,19.6,25,0.235,0.39,24.04,48.5,0.438271605,0.304,4.64,21.1,23,0.24,0.385,25.74,47
WhiteSox,Twins,L,0.481481481,0.298,4.12,20.5,21,0.257,0.41,24.62,46.7,0.364197531,0.319,5.09,18.9,22.8,0.251,0.421,23.99,47.9
Brewers,Cardinals,W,0.450617284,0.3,4.1,19,25.5,0.244,0.407,23.1,49.9,0.530864198,0.304,4.08,20.9,21.2,0.255,0.443,24.98,46.7
Braves,Nationals,W,0.422360248,0.293,4.51,19.6,20,0.255,0.384,24.11,45.5,0.586419753,0.288,3.52,24.5,20.2,0.256,0.426,28.02,45.8
Marlins,Mets,L,0.49068323,0.303,4.05,22.4,19.8,0.263,0.394,26.45,46.1,0.537037037,0.308,3.58,23,21.3,0.246,0.417,26.58,45.9
Reds,Cubs,W,0.419753086,0.29,4.91,19.6,21.1,0.256,0.408,24.51,46.7,0.635802469,0.255,3.15,24.3,21.1,0.256,0.429,27.45,46.7
Royals,Astros,W,0.5,0.298,4.21,20.8,20.2,0.261,0.4,25.01,46.3,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417,26.66,48.1
Angels,Athletics,L,0.456790123,0.301,4.28,18.6,16.4,0.26,0.405,22.88,42.4,0.425925926,0.299,4.51,19.3,19,0.246,0.395,23.81,43.6
Rangers,Mariners,L,0.586419753,0.292,4.38,18.7,20,0.262,0.433,23.08,46.2,0.530864198,0.292,4,21.4,20.7,0.259,0.43,25.4,46.6
Pirates,Tigers,W,0.481481481,0.306,4.22,19.6,21.3,0.257,0.402,23.82,47,0.534161491,0.3,4.24,20.4,21.3,0.267,0.438,24.64,48
Braves,Nationals,W,0.422360248,0.293,4.51,19.6,20,0.255,0.384,24.11,45.5,0.586419753,0.288,3.52,24.5,20.2,0.256,0.426,28.02,45.8
Padres,Phillies,W,0.419753086,0.296,4.44,19.6,25,0.235,0.39,24.04,48.5,0.438271605,0.304,4.64,21.1,23,0.24,0.385,25.74,47
Yankees,BlueJays,L,0.518518519,0.292,4.16,23.1,19.6,0.252,0.405,27.26,44.8,0.549382716,0.282,3.79,21.5,21.9,0.248,0.426,25.29,46.7
Orioles,RedSox,L,0.549382716,0.299,4.22,20.4,21.7,0.256,0.443,24.62,47.3,0.574074074,0.293,4,22.4,18.4,0.282,0.461,26.4,46.6
Indians,Rays,W,0.583850932,0.289,3.86,23.2,20.2,0.262,0.43,27.06,46.4,0.419753086,0.297,4.2,22.3,24.5,0.243,0.426,26.5,48.8
Marlins,Mets,L,0.49068323,0.303,4.05,22.4,19.8,0.263,0.394,26.45,46.1,0.537037037,0.308,3.58,23,21.3,0.246,0.417,26.58,45.9
Royals,Astros,L,0.5,0.298,4.21,20.8,20.2,0.261,0.4,25.01,46.3,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417,26.66,48.1
Giants,Rockies,L,0.537037037,0.287,3.69,21.6,17.7,0.258,0.398,25.29,43.5,0.462962963,0.317,4.92,19.5,21.3,0.275,0.457,24.42,48.8
Angels,Athletics,L,0.456790123,0.301,4.28,18.6,16.4,0.26,0.405,22.88,42.4,0.425925926,0.299,4.51,19.3,19,0.246,0.395,23.81,43.6
Rangers,Mariners,L,0.586419753,0.292,4.38,18.7,20,0.262,0.433,23.08,46.2,0.530864198,0.292,4,21.4,20.7,0.259,0.43,25.4,46.6
Marlins,Mets,W,0.49068323,0.303,4.05,22.4,19.8,0.263,0.394,26.45,46.1,0.537037037,0.308,3.58,23,21.3,0.246,0.417,26.58,45.9
Angels,Athletics,L,0.456790123,0.301,4.28,18.6,16.4,0.26,0.405,22.88,42.4,0.425925926,0.299,4.51,19.3,19,0.246,0.395,23.81,43.6
Rangers,Mariners,W,0.586419753,0.292,4.38,18.7,20,0.262,0.433,23.08,46.2,0.530864198,0.292,4,21.4,20.7,0.259,0.43,25.4,46.6
Braves,Nationals,W,0.422360248,0.293,4.51,19.6,20,0.255,0.384,24.11,45.5,0.586419753,0.288,3.52,24.5,20.2,0.256,0.426,28.02,45.8
Tigers,Pirates,L,0.534161491,0.3,4.24,20.4,21.3,0.267,0.438,24.64,48,0.481481481,0.306,4.22,19.6,21.3,0.257,0.402,23.82,47
Padres,Phillies,W,0.419753086,0.296,4.44,19.6,25,0.235,0.39,24.04,48.5,0.438271605,0.304,4.64,21.1,23,0.24,0.385,25.74,47
Yankees,BlueJays,W,0.518518519,0.292,4.16,23.1,19.6,0.252,0.405,27.26,44.8,0.549382716,0.282,3.79,21.5,21.9,0.248,0.426,25.29,46.7
Orioles,RedSox,W,0.549382716,0.299,4.22,20.4,21.7,0.256,0.443,24.62,47.3,0.574074074,0.293,4,22.4,18.4,0.282,0.461,26.4,46.6
Indians,Rays,L,0.583850932,0.289,3.86,23.2,20.2,0.262,0.43,27.06,46.4,0.419753086,0.297,4.2,22.3,24.5,0.243,0.426,26.5,48.8
Reds,Cubs,W,0.419753086,0.29,4.91,19.6,21.1,0.256,0.408,24.51,46.7,0.635802469,0.255,3.15,24.3,21.1,0.256,0.429,27.45,46.7
WhiteSox,Twins,L,0.481481481,0.298,4.12,20.5,21,0.257,0.41,24.62,46.7,0.364197531,0.319,5.09,18.9,22.8,0.251,0.421,23.99,47.9
Royals,Astros,L,0.5,0.298,4.21,20.8,20.2,0.261,0.4,25.01,46.3,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417,26.66,48.1
Brewers,Cardinals,L,0.450617284,0.3,4.1,19,25.5,0.244,0.407,23.1,49.9,0.530864198,0.304,4.08,20.9,21.2,0.255,0.443,24.98,46.7
Giants,Rockies,W,0.537037037,0.287,3.69,21.6,17.7,0.258,0.398,25.29,43.5,0.462962963,0.317,4.92,19.5,21.3,0.275,0.457,24.42,48.8
Tigers,Pirates,L,0.534161491,0.3,4.24,20.4,21.3,0.267,0.438,24.64,48,0.481481481,0.306,4.22,19.6,21.3,0.257,0.402,23.82,47
Padres,Phillies,W,0.419753086,0.296,4.44,19.6,25,0.235,0.39,24.04,48.5,0.438271605,0.304,4.64,21.1,23,0.24,0.385,25.74,47
WhiteSox,Twins,L,0.481481481,0.298,4.12,20.5,21,0.257,0.41,24.62,46.7,0.364197531,0.319,5.09,18.9,22.8,0.251,0.421,23.99,47.9
Indians,Rays,L,0.583850932,0.289,3.86,23.2,20.2,0.262,0.43,27.06,46.4,0.419753086,0.297,4.2,22.3,24.5,0.243,0.426,26.5,48.8
Brewers,Cardinals,W,0.450617284,0.3,4.1,19,25.5,0.244,0.407,23.1,49.9,0.530864198,0.304,4.08,20.9,21.2,0.255,0.443,24.98,46.7
Giants,Rockies,W,0.537037037,0.287,3.69,21.6,17.7,0.258,0.398,25.29,43.5,0.462962963,0.317,4.92,19.5,21.3,0.275,0.457,24.42,48.8
Braves,Nationals,W,0.422360248,0.293,4.51,19.6,20,0.255,0.384,24.11,45.5,0.586419753,0.288,3.52,24.5,20.2,0.256,0.426,28.02,45.8
Yankees,BlueJays,W,0.518518519,0.292,4.16,23.1,19.6,0.252,0.405,27.26,44.8,0.549382716,0.282,3.79,21.5,21.9,0.248,0.426,25.29,46.7
Orioles,Rangers,W,0.549382716,0.299,4.22,20.4,21.7,0.256,0.443,24.62,47.3,0.586419753,0.292,4.38,18.7,20,0.262,0.433,23.08,46.2
Reds,Cubs,W,0.419753086,0.29,4.91,19.6,21.1,0.256,0.408,24.51,46.7,0.635802469,0.255,3.15,24.3,21.1,0.256,0.429,27.45,46.7
Royals,Astros,L,0.5,0.298,4.21,20.8,20.2,0.261,0.4,25.01,46.3,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417,26.66,48.1
Rockies,Cubs,L,0.462962963,0.317,4.92,19.5,21.3,0.275,0.457,24.42,48.8,0.635802469,0.255,3.15,24.3,21.1,0.256,0.429,27.45,46.7
Brewers,Pirates,L,0.450617284,0.3,4.1,19,25.5,0.244,0.407,23.1,49.9,0.481481481,0.306,4.22,19.6,21.3,0.257,0.402,23.82,47
Mariners,Yankees,L,0.530864198,0.292,4,21.4,20.7,0.259,0.43,25.4,46.6,0.518518519,0.292,4.16,23.1,19.6,0.252,0.405,27.26,44.8
Nationals,Phillies,L,0.586419753,0.288,3.52,24.5,20.2,0.256,0.426,28.02,45.8,0.438271605,0.304,4.64,21.1,23,0.24,0.385,25.74,47
Braves,Marlins,L,0.422360248,0.293,4.51,19.6,20,0.255,0.384,24.11,45.5,0.49068323,0.303,4.05,22.4,19.8,0.263,0.394,26.45,46.1
WhiteSox,Rays,L,0.481481481,0.298,4.12,20.5,21,0.257,0.41,24.62,46.7,0.419753086,0.297,4.2,22.3,24.5,0.243,0.426,26.5,48.8
Mets,Indians,L,0.537037037,0.308,3.58,23,21.3,0.246,0.417,26.58,45.9,0.583850932,0.289,3.86,23.2,20.2,0.262,0.43,27.06,46.4
BlueJays,RedSox,W,0.549382716,0.282,3.79,21.5,21.9,0.248,0.426,25.29,46.7,0.574074074,0.293,4,22.4,18.4,0.282,0.461,26.4,46.6
Orioles,Rangers,L,0.549382716,0.299,4.22,20.4,21.7,0.256,0.443,24.62,47.3,0.586419753,0.292,4.38,18.7,20,0.262,0.433,23.08,46.2
Tigers,Astros,W,0.534161491,0.3,4.24,20.4,21.3,0.267,0.438,24.64,48,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417,26.66,48.1
Angels,Twins,W,0.456790123,0.301,4.28,18.6,16.4,0.26,0.405,22.88,42.4,0.364197531,0.319,5.09,18.9,22.8,0.251,0.421,23.99,47.9
Reds,Cardinals,W,0.419753086,0.29,4.91,19.6,21.1,0.256,0.408,24.51,46.7,0.530864198,0.304,4.08,20.9,21.2,0.255,0.443,24.98,46.7
Royals,Athletics,L,0.5,0.298,4.21,20.8,20.2,0.261,0.4,25.01,46.3,0.425925926,0.299,4.51,19.3,19,0.246,0.395,23.81,43.6
Giants,Dodgers,W,0.537037037,0.287,3.69,21.6,17.7,0.258,0.398,25.29,43.5,0.561728395,0.288,3.7,25.1,21.4,0.249,0.409,28.8,46.3
Mariners,Yankees,L,0.530864198,0.292,4,21.4,20.7,0.259,0.43,25.4,46.6,0.518518519,0.292,4.16,23.1,19.6,0.252,0.405,27.26,44.8
Angels,Twins,W,0.456790123,0.301,4.28,18.6,16.4,0.26,0.405,22.88,42.4,0.364197531,0.319,5.09,18.9,22.8,0.251,0.421,23.99,47.9
Reds,Cardinals,L,0.419753086,0.29,4.91,19.6,21.1,0.256,0.408,24.51,46.7,0.530864198,0.304,4.08,20.9,21.2,0.255,0.443,24.98,46.7
Rockies,Cubs,W,0.462962963,0.317,4.92,19.5,21.3,0.275,0.457,24.42,48.8,0.635802469,0.255,3.15,24.3,21.1,0.256,0.429,27.45,46.7
Royals,Athletics,W,0.5,0.298,4.21,20.8,20.2,0.261,0.4,25.01,46.3,0.425925926,0.299,4.51,19.3,19,0.246,0.395,23.81,43.6
BlueJays,RedSox,W,0.549382716,0.282,3.79,21.5,21.9,0.248,0.426,25.29,46.7,0.574074074,0.293,4,22.4,18.4,0.282,0.461,26.4,46.6
Mets,Indians,W,0.537037037,0.308,3.58,23,21.3,0.246,0.417,26.58,45.9,0.583850932,0.289,3.86,23.2,20.2,0.262,0.43,27.06,46.4
WhiteSox,Rays,W,0.481481481,0.298,4.12,20.5,21,0.257,0.41,24.62,46.7,0.419753086,0.297,4.2,22.3,24.5,0.243,0.426,26.5,48.8
Brewers,Pirates,W,0.450617284,0.3,4.1,19,25.5,0.244,0.407,23.1,49.9,0.481481481,0.306,4.22,19.6,21.3,0.257,0.402,23.82,47
Nationals,Phillies,L,0.586419753,0.288,3.52,24.5,20.2,0.256,0.426,28.02,45.8,0.438271605,0.304,4.64,21.1,23,0.24,0.385,25.74,47
Braves,Marlins,L,0.422360248,0.293,4.51,19.6,20,0.255,0.384,24.11,45.5,0.49068323,0.303,4.05,22.4,19.8,0.263,0.394,26.45,46.1
Tigers,Astros,L,0.534161491,0.3,4.24,20.4,21.3,0.267,0.438,24.64,48,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417,26.66,48.1
Orioles,Rangers,W,0.549382716,0.299,4.22,20.4,21.7,0.256,0.443,24.62,47.3,0.586419753,0.292,4.38,18.7,20,0.262,0.433,23.08,46.2
Giants,Dodgers,L,0.537037037,0.287,3.69,21.6,17.7,0.258,0.398,25.29,43.5,0.561728395,0.288,3.7,25.1,21.4,0.249,0.409,28.8,46.3
Mariners,Yankees,W,0.530864198,0.292,4,21.4,20.7,0.259,0.43,25.4,46.6,0.518518519,0.292,4.16,23.1,19.6,0.252,0.405,27.26,44.8
Braves,Marlins,L,0.422360248,0.293,4.51,19.6,20,0.255,0.384,24.11,45.5,0.49068323,0.303,4.05,22.4,19.8,0.263,0.394,26.45,46.1
WhiteSox,Rays,W,0.481481481,0.298,4.12,20.5,21,0.257,0.41,24.62,46.7,0.419753086,0.297,4.2,22.3,24.5,0.243,0.426,26.5,48.8
Mets,Indians,L,0.537037037,0.308,3.58,23,21.3,0.246,0.417,26.58,45.9,0.583850932,0.289,3.86,23.2,20.2,0.262,0.43,27.06,46.4
Brewers,Pirates,W,0.450617284,0.3,4.1,19,25.5,0.244,0.407,23.1,49.9,0.481481481,0.306,4.22,19.6,21.3,0.257,0.402,23.82,47
BlueJays,RedSox,L,0.549382716,0.282,3.79,21.5,21.9,0.248,0.426,25.29,46.7,0.574074074,0.293,4,22.4,18.4,0.282,0.461,26.4,46.6
Nationals,Phillies,W,0.586419753,0.288,3.52,24.5,20.2,0.256,0.426,28.02,45.8,0.438271605,0.304,4.64,21.1,23,0.24,0.385,25.74,47
Tigers,Astros,W,0.534161491,0.3,4.24,20.4,21.3,0.267,0.438,24.64,48,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417,26.66,48.1
Angels,Twins,W,0.456790123,0.301,4.28,18.6,16.4,0.26,0.405,22.88,42.4,0.364197531,0.319,5.09,18.9,22.8,0.251,0.421,23.99,47.9
Reds,Cardinals,W,0.419753086,0.29,4.91,19.6,21.1,0.256,0.408,24.51,46.7,0.530864198,0.304,4.08,20.9,21.2,0.255,0.443,24.98,46.7
Rockies,Cubs,L,0.462962963,0.317,4.92,19.5,21.3,0.275,0.457,24.42,48.8,0.635802469,0.255,3.15,24.3,21.1,0.256,0.429,27.45,46.7
Royals,Athletics,W,0.5,0.298,4.21,20.8,20.2,0.261,0.4,25.01,46.3,0.425925926,0.299,4.51,19.3,19,0.246,0.395,23.81,43.6
Giants,Dodgers,W,0.537037037,0.287,3.69,21.6,17.7,0.258,0.398,25.29,43.5,0.561728395,0.288,3.7,25.1,21.4,0.249,0.409,28.8,46.3
BlueJays,RedSox,L,0.549382716,0.282,3.79,21.5,21.9,0.248,0.426,25.29,46.7,0.574074074,0.293,4,22.4,18.4,0.282,0.461,26.4,46.6
Mets,Phillies,L,0.537037037,0.308,3.58,23,21.3,0.246,0.417,26.58,45.9,0.438271605,0.304,4.64,21.1,23,0.24,0.385,25.74,47
Rockies,Reds,L,0.462962963,0.317,4.92,19.5,21.3,0.275,0.457,24.42,48.8,0.419753086,0.29,4.91,19.6,21.1,0.256,0.408,24.51,46.7
Nationals,Marlins,W,0.586419753,0.288,3.52,24.5,20.2,0.256,0.426,28.02,45.8,0.49068323,0.303,4.05,22.4,19.8,0.263,0.394,26.45,46.1
Cubs,Cardinals,L,0.635802469,0.255,3.15,24.3,21.1,0.256,0.429,27.45,46.7,0.530864198,0.304,4.08,20.9,21.2,0.255,0.443,24.98,46.7
Angels,WhiteSox,L,0.456790123,0.301,4.28,18.6,16.4,0.26,0.405,22.88,42.4,0.481481481,0.298,4.12,20.5,21,0.257,0.41,24.62,46.7
