AWAY,HOME,HOME_TEAM_RESULT,W%,Off,K%,AVG
Brewers,Rockies,L,0.012345679,16.1,-4.2,0.031
Tigers,Orioles,L,0.015221225,3.5,0.4,-0.011
RedSox,Twins,W,-0.209876543,-145.9,4.4,-0.031
Yankees,Tigers,W,0.015642972,61.5,1.7,0.015
Pirates,Rays,L,-0.061728395,15.9,3.2,-0.014
Cardinals,Yankees,L,-0.012345679,-66.1,-1.6,-0.003
Braves,Orioles,W,0.127022468,128.6,1.7,0.001
Reds,Indians,W,0.164097845,109.3,-0.9,0.006
Cubs,Mets,L,-0.098765432,-80.4,0.2,-0.01
Brewers,Astros,L,0.067901235,59.3,-2.1,0.003
Angels,Dodgers,L,0.104938272,7.9,5,-0.011
Athletics,Giants,W,0.111111111,77.9,-1.3,0.012
Rays,Braves,D,0.002607162,-98.2,-4.5,0.012
Rays,Tigers,W,0.114408404,26.9,-3.2,0.024
Brewers,Astros,W,0.067901235,59.3,-2.1,0.003
Mets,Cubs,L,0.098765432,80.4,-0.2,0.01
Orioles,Phillies,L,-0.111111111,-158.5,1.3,-0.016
Twins,Nationals,W,0.222222222,20.4,-2.6,0.005
RedSox,BlueJays,L,-0.024691358,-104.4,3.5,-0.034
Yankees,Marlins,L,-0.027835289,-7.7,0.2,0.011
Indians,Rangers,L,0.002568821,-44.2,-0.2,0
WhiteSox,Padres,L,-0.061728395,-49.5,4,-0.022
Rockies,Mariners,D,0.067901235,81.7,-0.6,-0.016
Angels,Dodgers,L,0.104938272,7.9,5,-0.011
Athletics,Giants,W,0.111111111,77.9,-1.3,0.012
Twins,Nationals,D,0.222222222,20.4,-2.6,0.005
RedSox,BlueJays,L,-0.024691358,-104.4,3.5,-0.034
Yankees,Marlins,W,-0.027835289,-7.7,0.2,0.011
Reds,Pirates,L,0.061728395,52.2,0.2,0.001
Indians,Rangers,L,0.002568821,-44.2,-0.2,0
Mariners,Rockies,L,-0.067901235,-81.7,0.6,0.016
WhiteSox,Padres,L,-0.061728395,-49.5,4,-0.022
Giants,Athletics,W,-0.111111111,-77.9,1.3,-0.012
Dodgers,Angels,W,-0.104938272,-7.9,-5,0.011
Cubs,Angels,W,-0.179012346,-81.6,-4.7,0.004
Cardinals,Pirates,W,-0.049382716,-47.4,0.1,0.002
BlueJays,Rays,L,-0.12962963,-25.6,2.6,-0.005
Mets,Royals,W,-0.037037037,-60.2,-1.1,0.015
Giants,Brewers,L,-0.086419753,-35.5,7.8,-0.014
Twins,Orioles,W,0.185185185,46.3,-1.1,0.005
Mariners,Rangers,W,0.055555556,-52.9,-0.7,0.003
Phillies,Reds,W,-0.018518519,60,-1.9,0.016
Nationals,Braves,L,-0.164059505,-102.7,-0.2,-0.001
Dodgers,Padres,L,-0.141975309,-61,3.6,-0.014
BlueJays,Rays,L,-0.12962963,-25.6,2.6,-0.005
